x1;y1;x2;y2
2.000000000000000000e+03;3.800000000000000000e+03;2.800000000000000000e+03;3.900000000000000000e+03
2.000600300150075100e+03;3.799674837418709558e+03;2.799749874937468576e+03;3.899599799899950085e+03
2.001200600300149972e+03;3.799349674837418661e+03;2.799499749874937606e+03;3.899199599799900170e+03
2.001800900450225072e+03;3.799024512256128219e+03;2.799249624812406182e+03;3.898799399699849801e+03
2.002401200600300172e+03;3.798699349674837322e+03;2.798999499749874758e+03;3.898399199599799886e+03
2.003001500750375271e+03;3.798374187093546880e+03;2.798749374687343789e+03;3.897998999499749971e+03
2.003601800900450144e+03;3.798049024512255983e+03;2.798499249624812364e+03;3.897598799399700056e+03
2.004202101050525243e+03;3.797723861930965541e+03;2.798249124562280940e+03;3.897198599299649686e+03
2.004802401200600343e+03;3.797398699349674644e+03;2.797998999499749971e+03;3.896798399199599771e+03
2.005402701350675443e+03;3.797073536768384201e+03;2.797748874437218547e+03;3.896398199099549856e+03
2.006003001500750315e+03;3.796748374187093759e+03;2.797498749374687122e+03;3.895997998999499941e+03
2.006603301650825415e+03;3.796423211605802862e+03;2.797248624312156153e+03;3.895597798899449572e+03
2.007203601800900515e+03;3.796098049024512420e+03;2.796998499249624729e+03;3.895197598799399657e+03
2.007803901950975387e+03;3.795772886443221523e+03;2.796748374187093759e+03;3.894797398699349742e+03
2.008404202101050487e+03;3.795447723861931081e+03;2.796498249124562335e+03;3.894397198599299827e+03
2.009004502251125587e+03;3.795122561280640184e+03;2.796248124062030911e+03;3.893996998499249457e+03
2.009604802401200686e+03;3.794797398699349742e+03;2.795997998999499941e+03;3.893596798399199542e+03
2.010205102551275559e+03;3.794472236118058845e+03;2.795747873936968517e+03;3.893196598299149628e+03
2.010805402701350658e+03;3.794147073536768403e+03;2.795497748874437093e+03;3.892796398199099713e+03
2.011405702851425758e+03;3.793821910955477961e+03;2.795247623811906124e+03;3.892396198099049343e+03
2.012006003001500858e+03;3.793496748374187064e+03;2.794997498749374699e+03;3.891995997998999428e+03
2.012606303151575730e+03;3.793171585792896622e+03;2.794747373686843275e+03;3.891595797898949513e+03
2.013206603301650830e+03;3.792846423211605725e+03;2.794497248624312306e+03;3.891195597798899598e+03
2.013806903451725930e+03;3.792521260630315282e+03;2.794247123561780882e+03;3.890795397698849229e+03
